resolution,timezone,app,interventionDuration,timestamp,isReIntervention,interventionType
openedApp,Africa/Johannesburg,instagram,1.5,1750259051.9654222,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750260495.109808,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750261266.92456,False,breathingExercise
dismissedAppOpening,Africa/Johannesburg,instagram,1.5,1750261335.297246,False,breathingExercise
dismissedAppOpening,Africa/Johannesburg,instagram,1.5,1750261377.2015262,False,breathingExercise
dismissedAppOpening,Africa/Johannesburg,instagram,1.5,1750261737.899929,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750262119.219417,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750262270.9862099,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750262891.022193,False,breathingExercise
dismissedAppOpening,Africa/Johannesburg,instagram,1.5,1750262976.308012,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750263757.707742,False,breathingExercise
dismissedAppOpening,Africa/Johannesburg,instagram,1.5,1750264621.4405708,False,breathingExercise
dismissedAppOpening,Africa/Johannesburg,instagram,1.5,1750265439.7712,False,breathingExercise
dismissedAppOpening,Africa/Johannesburg,instagram,1.5,1750265443.998918,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750270300.984709,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750270377.172185,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750270827.5076609,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750274376.9932818,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750276640.995119,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750313829.2838302,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750314312.397217,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750327315.718162,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750327700.037012,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750330989.360839,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750333316.94074,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750334740.870224,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750334760.095403,False,breathingExercise
dismissedAppOpening,Africa/Johannesburg,instagram,1.5,1750336223.504947,False,breathingExercise
dismissedAppOpening,Africa/Johannesburg,instagram,1.5,1750336226.1176229,False,breathingExercise
dismissedAppOpening,Africa/Johannesburg,instagram,1.5,1750336546.988673,False,breathingExercise
dismissedAppOpening,Africa/Johannesburg,instagram,1.5,1750336583.619835,False,breathingExercise
dismissedAppOpening,Africa/Johannesburg,instagram,1.5,1750341962.5779681,False,breathingExercise
dismissedAppOpening,Africa/Johannesburg,instagram,1.5,1750341966.089633,False,breathingExercise
dismissedAppOpening,Africa/Johannesburg,instagram,1.5,1750341976.124617,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750341999.333199,False,breathingExercise
dismissedAppOpening,Africa/Johannesburg,instagram,1.5,1750344753.853715,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750345315.643338,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750346584.682729,False,breathingExercise
dismissedAppOpening,Africa/Johannesburg,instagram,1.5,1750346671.462627,False,breathingExercise
dismissedAppOpening,Africa/Johannesburg,instagram,1.5,1750346701.4525409,False,breathingExercise
dismissedAppOpening,Africa/Johannesburg,instagram,1.5,1750346780.017867,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750346816.8176398,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750347494.68449,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750348299.9097881,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750348828.412379,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750349228.060986,False,breathingExercise
