interventionDuration,isReIntervention,timezone,app,interventionType,timestamp,resolution,purpose
1.5,False,America/Mexico_City,instagram,breathingExercise,1749685835.440637,openedApp,Entertainment
1.5,False,America/Mexico_City,instagram,breathingExercise,1749685959.471252,openedApp,Message
1.5,False,America/Mexico_City,instagram,breathingExercise,1749686343.9680219,openedApp,Entertainment
1.5,False,America/Mexico_City,instagram,breathingExercise,1749687128.803047,openedApp,Message
1.5,False,America/Mexico_City,instagram,breathingExercise,1749687917.873231,openedApp,Message
1.5,False,America/Mexico_City,instagram,breathingExercise,1749688135.04758,openedApp,Toilet
1.5,False,America/Mexico_City,instagram,breathingExercise,1749689172.665076,openedApp,Message
1.5,False,America/Mexico_City,instagram,breathingExercise,1749689394.139533,openedApp,Relax
1.5,False,America/Mexico_City,instagram,breathingExercise,1749689781.59393,openedApp,Stay In the Loop
1.5,False,America/Mexico_City,instagram,breathingExercise,1749690414.247319,openedApp,Escape / Avoid
1.5,False,America/Mexico_City,instagram,breathingExercise,1749693308.2546659,openedApp,Message
1.5,False,America/Mexico_City,instagram,breathingExercise,1749693904.1585631,openedApp,Bored
1.5,False,America/Mexico_City,instagram,breathingExercise,1749694132.809047,openedApp,Message
1.5,False,America/Mexico_City,instagram,breathingExercise,1749695288.0276089,openedApp,Relax
1.5,False,America/Mexico_City,instagram,breathingExercise,1749696061.140661,openedApp,Post something
1.5,False,America/Mexico_City,instagram,breathingExercise,1749697058.816791,openedApp,Bored
1.5,False,America/Mexico_City,instagram,breathingExercise,1749700161.806902,openedApp,Relax
1.5,False,America/Mexico_City,instagram,breathingExercise,1749701776.686431,openedApp,Stalk crush
1.5,False,America/Mexico_City,instagram,breathingExercise,1749701860.5669122,dismissedAppOpening,
1.5,False,America/Mexico_City,instagram,breathingExercise,1749701878.394995,dismissedAppOpening,
1.5,False,America/Mexico_City,instagram,breathingExercise,1749701887.698704,openedApp,Relax
1.5,False,America/Mexico_City,instagram,breathingExercise,1749701970.342715,openedApp,Bored
1.5,False,America/Mexico_City,instagram,breathingExercise,1749703174.0600672,dismissedAppOpening,
1.5,False,America/Mexico_City,instagram,breathingExercise,1749706473.668684,openedApp,Relax
1.5,False,America/Mexico_City,instagram,breathingExercise,1749727843.340987,openedApp,Stay In the Loop
1.5,False,America/Mexico_City,instagram,breathingExercise,1749734018.579351,openedApp,Relax
1.5,False,America/Mexico_City,instagram,breathingExercise,1749735298.5038881,openedApp,Entertainment
1.5,False,America/Mexico_City,instagram,breathingExercise,1749735879.508749,openedApp,Bored
1.5,False,America/Mexico_City,instagram,breathingExercise,1749736981.689599,openedApp,Bored
1.5,False,America/Mexico_City,instagram,breathingExercise,1749740061.7750869,openedApp,Relax
1.5,False,America/Mexico_City,instagram,breathingExercise,1749740210.756868,dismissedAppOpening,
1.5,False,America/Mexico_City,instagram,breathingExercise,1749741227.972045,openedApp,Entertainment
1.5,False,America/Mexico_City,instagram,breathingExercise,1749741676.333086,openedApp,Stay In the Loop
1.5,False,America/Mexico_City,instagram,breathingExercise,1749742138.456326,dismissedAppOpening,
1.5,False,America/Mexico_City,instagram,breathingExercise,1749742277.4912581,openedApp,Escape / Avoid
1.5,False,America/Mexico_City,instagram,breathingExercise,1749742377.8851972,openedApp,Bored
1.5,False,America/Mexico_City,instagram,breathingExercise,1749743237.8347158,openedApp,Entertainment
1.5,False,America/Mexico_City,instagram,breathingExercise,1749743404.765274,openedApp,Entertainment
1.5,False,America/Mexico_City,instagram,breathingExercise,1749743640.370265,openedApp,Check likes
1.5,False,America/Mexico_City,instagram,breathingExercise,1749743807.0644789,dismissedAppOpening,
1.5,False,America/Mexico_City,instagram,breathingExercise,1749743885.575805,openedApp,Entertainment
1.5,False,America/Mexico_City,instagram,breathingExercise,1749743995.115844,openedApp,Relax
1.5,False,America/Mexico_City,instagram,breathingExercise,1749744323.9070559,openedApp,Entertainment
1.5,False,America/Mexico_City,instagram,breathingExercise,1749744418.1891809,dismissedAppOpening,
1.5,False,America/Mexico_City,instagram,breathingExercise,1749744507.595753,dismissedAppOpening,
1.5,False,America/Mexico_City,instagram,breathingExercise,1749745234.083353,openedApp,Entertainment
1.5,False,America/Mexico_City,instagram,breathingExercise,1749745518.6007981,openedApp,Bored
1.5,False,America/Mexico_City,instagram,breathingExercise,1749745778.258442,openedApp,Stalk crush
1.5,False,America/Mexico_City,instagram,breathingExercise,1749746572.4918299,openedApp,Relax
1.5,False,America/Mexico_City,instagram,breathingExercise,1749747182.6517959,openedApp,Toilet
1.5,False,America/Mexico_City,instagram,breathingExercise,1749747752.475213,openedApp,Entertainment
1.5,False,America/Mexico_City,instagram,breathingExercise,1749748453.453121,openedApp,Entertainment
1.5,False,America/Mexico_City,instagram,breathingExercise,1749749269.448742,openedApp,Entertainment
1.5,False,America/Mexico_City,instagram,breathingExercise,1749749370.213107,dismissedAppOpening,
1.5,False,America/Mexico_City,instagram,breathingExercise,1749749678.222265,openedApp,Stay In the Loop
1.5,False,America/Mexico_City,instagram,breathingExercise,1749749909.856071,openedApp,Entertainment
1.5,False,America/Mexico_City,instagram,breathingExercise,1749750116.987268,openedApp,Relax
1.5,False,America/Mexico_City,instagram,breathingExercise,1749750566.116957,openedApp,Relax
1.5,False,America/Mexico_City,instagram,breathingExercise,1749750704.0782871,openedApp,Relax
1.5,False,America/Mexico_City,instagram,breathingExercise,1749751044.1928,openedApp,Message
1.5,False,America/Mexico_City,instagram,breathingExercise,1749751137.7389898,openedApp,Entertainment
