interventionDuration,timestamp,interventionType,timezone,app,resolution,isReIntervention
1.5,1749734492.4861841,breathingExercise,Europe/Berlin,instagram,openedApp,False
1.5,1749735063.850461,breathingExercise,Europe/Berlin,snapchat,dismissedAppOpening,False
1.5,1749735403.377761,breathingExercise,Europe/Berlin,instagram,openedApp,False
1.5,1749737970.0802522,breathingExercise,Europe/Berlin,snapchat,openedApp,False
1.5,1749737989.450234,breathingExercise,Europe/Berlin,instagram,openedApp,False
1.5,1749739328.055964,breathingExercise,Europe/Berlin,snapchat,openedApp,False
1.5,1749742209.416291,breathingExercise,Europe/Berlin,snapchat,openedApp,False
1.5,1749758694.2651439,breathingExercise,Europe/Berlin,snapchat,openedApp,False
1.5,1749758745.930393,breathingExercise,Europe/Berlin,instagram,openedApp,False
1.5,1749759080.49753,breathingExercise,Europe/Berlin,snapchat,dismissedAppOpening,False
1.5,1749761127.004599,breathingExercise,Europe/Berlin,brawlStars,openedApp,False
1.5,1749762593.98457,breathingExercise,Europe/Berlin,instagram,openedApp,False
1.5,1749762991.896213,breathingExercise,Europe/Berlin,snapchat,openedApp,False
1.5,1749763012.5131512,breathingExercise,Europe/Berlin,instagram,openedApp,False
1.5,1749765232.1593251,breathingExercise,Europe/Berlin,instagram,openedApp,False
1.5,1749765269.172569,breathingExercise,Europe/Berlin,youtube,openedApp,False
1.5,1749796261.676019,breathingExercise,Europe/Berlin,snapchat,openedApp,False
1.5,1749804104.527118,breathingExercise,Europe/Berlin,snapchat,openedApp,False
1.5,1749804897.451494,breathingExercise,Europe/Berlin,snapchat,openedApp,False
1.5,1749804936.789762,breathingExercise,Europe/Berlin,instagram,openedApp,False
1.5,1749809069.226546,breathingExercise,Europe/Berlin,snapchat,dismissedAppOpening,False
1.5,1749809074.13137,breathingExercise,Europe/Berlin,snapchat,dismissedAppOpening,False
1.5,1749809082.363395,breathingExercise,Europe/Berlin,instagram,openedApp,False
1.5,1749811655.477439,breathingExercise,Europe/Berlin,snapchat,dismissedAppOpening,False
1.5,1749813810.8005261,breathingExercise,Europe/Berlin,snapchat,openedApp,False
1.5,1749813941.244117,breathingExercise,Europe/Berlin,youtube,openedApp,False
1.5,1749823339.3377008,breathingExercise,Europe/Berlin,snapchat,openedApp,False
1.5,1749823367.511671,breathingExercise,Europe/Berlin,instagram,openedApp,False
1.5,1749835665.108535,breathingExercise,Europe/Berlin,snapchat,openedApp,False
1.5,1749835693.934171,breathingExercise,Europe/Berlin,instagram,openedApp,False
1.5,1749835914.16657,breathingExercise,Europe/Berlin,instagram,openedApp,False
1.5,1749836043.330754,breathingExercise,Europe/Berlin,instagram,dismissedAppOpening,False
1.5,1749836050.785737,breathingExercise,Europe/Berlin,instagram,openedApp,False
1.5,1749839670.44278,breathingExercise,Europe/Berlin,snapchat,openedApp,False
1.5,1749839735.3061662,breathingExercise,Europe/Berlin,snapchat,openedApp,False
1.5,1749843341.743995,breathingExercise,Europe/Berlin,snapchat,openedApp,False
1.5,1749843372.181004,breathingExercise,Europe/Berlin,instagram,openedApp,False
1.5,1749846366.502156,breathingExercise,Europe/Berlin,snapchat,openedApp,False
1.5,1749846406.855394,breathingExercise,Europe/Berlin,instagram,openedApp,False
1.5,1749846682.600553,breathingExercise,Europe/Berlin,instagram,openedApp,False
1.5,1749847432.412973,breathingExercise,Europe/Berlin,brawlStars,openedApp,False
1.5,1749847460.619453,breathingExercise,Europe/Berlin,brawlStars,openedApp,False
1.5,1749847506.104811,breathingExercise,Europe/Berlin,brawlStars,openedApp,False
