timezone,resolution,app,timestamp,interventionDuration,isReIntervention,interventionType
Asia/Tokyo,closedApp,youtube,1753851143.233165,,False,
Asia/Tokyo,closedApp,youtube,1753851230.744237,,False,
Asia/Tokyo,openedApp,youtube,1753923004.264961,6.0,False,breathingExercise
Asia/Tokyo,closedApp,youtube,1753923091.27031,,False,
Asia/Tokyo,openedApp,youtube,1753923450.1462789,6.0,False,breathingExercise
Asia/Tokyo,closedApp,youtube,1753923457.5643768,,False,
Asia/Tokyo,openedApp,youtube,1753942938.575408,6.0,False,breathingExercise
Asia/Tokyo,closedApp,youtube,1753943010.117068,,False,
Asia/Tokyo,closedApp,youtube,1753943032.192484,,False,
Asia/Tokyo,closedApp,youtube,1753943145.339984,,False,
Asia/Tokyo,closedApp,youtube,1753943840.826474,,False,
Asia/Tokyo,openedApp,youtube,1753952741.879644,6.0,False,breathingExercise
Asia/Tokyo,closedApp,youtube,1753952848.372305,,False,
Asia/Tokyo,closedApp,youtube,1753952881.7990599,,False,
Asia/Tokyo,closedApp,youtube,1753953147.2540488,,False,
Asia/Tokyo,closedApp,youtube,1753953459.9930038,,False,
Asia/Tokyo,closedApp,youtube,1753953766.507525,,False,
Asia/Tokyo,closedApp,youtube,1753953818.604062,,False,
Asia/Tokyo,closedApp,youtube,1753954414.248317,,False,
Asia/Tokyo,closedApp,youtube,1753954526.215664,,False,
Asia/Tokyo,closedApp,youtube,1753954756.610755,,False,
Asia/Tokyo,closedApp,youtube,1753954760.64695,,False,
Asia/Tokyo,closedApp,youtube,1753954767.288056,,False,
Asia/Tokyo,closedApp,youtube,1753955038.585892,,False,
Asia/Tokyo,closedApp,youtube,1753956585.122604,,False,
Asia/Tokyo,closedApp,youtube,1753957151.303052,,False,
Asia/Tokyo,openedApp,youtube,1753997835.097353,6.0,False,breathingExercise
Asia/Tokyo,closedApp,youtube,1753999026.962552,,False,
Asia/Tokyo,openedApp,youtube,1754002423.534247,6.0,False,breathingExercise
Asia/Tokyo,closedApp,youtube,1754002436.7927752,,False,
Asia/Tokyo,closedApp,youtube,1754002798.6094198,,False,
Asia/Tokyo,closedApp,youtube,1754002932.8350291,,False,
Asia/Tokyo,closedApp,youtube,1754003575.1266189,,False,
Asia/Tokyo,closedApp,youtube,1754003842.779138,,False,
Asia/Tokyo,closedApp,youtube,1754003863.176234,,False,
Asia/Tokyo,closedApp,youtube,1754004147.228479,,False,
Asia/Tokyo,openedApp,youtube,1754026275.957848,6.0,False,breathingExercise
Asia/Tokyo,closedApp,youtube,1754026311.577744,,False,
Asia/Tokyo,closedApp,youtube,1754026431.947791,,False,
Asia/Tokyo,closedApp,youtube,1754026459.798761,,False,
Asia/Tokyo,closedApp,youtube,1754026802.597058,,False,
Asia/Tokyo,closedApp,youtube,1754026815.142548,,False,
Asia/Tokyo,closedApp,youtube,1754027201.638949,,False,
Asia/Tokyo,closedApp,pornhub,1754027726.137541,,False,
Asia/Tokyo,closedApp,pornhub,1754029497.903551,,False,
Asia/Tokyo,closedApp,pornhub,1754029520.781153,,False,
Asia/Tokyo,closedApp,pornhub,1754029560.083426,,False,
Asia/Tokyo,closedApp,pornhub,1754029565.180906,,False,
Asia/Tokyo,closedApp,pornhub,1754029617.671551,,False,
Asia/Tokyo,closedApp,pornhub,1754029712.1372352,,False,
Asia/Tokyo,closedApp,pornhub,1754029728.517863,,False,
Asia/Tokyo,closedApp,pornhub,1754029778.587349,,False,
Asia/Tokyo,closedApp,pornhub,1754029818.058734,,False,
Asia/Tokyo,closedApp,pornhub,1754029827.465393,,False,
Asia/Tokyo,closedApp,pornhub,1754029846.0734072,,False,
Asia/Tokyo,closedApp,pornhub,1754029862.5169358,,False,
Asia/Tokyo,closedApp,pornhub,1754029863.793247,,False,
Asia/Tokyo,closedApp,pornhub,1754029865.633661,,False,
Asia/Tokyo,closedApp,pornhub,1754029867.394115,,False,
Asia/Tokyo,closedApp,pornhub,1754029867.901321,,False,
Asia/Tokyo,openedApp,youtube,1754094127.369359,6.0,False,breathingExercise
