isReIntervention,timezone,timestamp,interventionDuration,interventionType,app,resolution,timeIntervalUntilReIntervention,purpose
False,Europe/Madrid,1752731809.747014,,,whastapp,closedApp,,
False,Europe/Madrid,1752740413.004648,1.5,breathingExercise,whastapp,openedApp,60.0,
False,Europe/Madrid,1752740425.5635428,,,whastapp,closedApp,,
False,Europe/Madrid,1752742407.9084702,1.5,breathingExercise,whastapp,openedApp,240.0,
False,Europe/Madrid,1752743843.149259,1.5,breathingExercise,safari,openedApp,,
False,Europe/Madrid,1752744699.419173,1.5,breathingExercise,safari,openedApp,,
False,Europe/Madrid,1752749136.760888,1.5,breathingExercise,whastapp,openedApp,600.0,
False,Europe/Madrid,1752749249.264128,,,whastapp,closedApp,,
False,Europe/Madrid,1752749308.838512,1.5,breathingExercise,safari,dismissedAppOpening,,
False,Europe/Madrid,1752749320.380618,1.5,breathingExercise,safari,openedApp,,
False,Europe/Madrid,1752778174.976166,1.5,breathingExercise,whastapp,openedApp,240.0,
False,Europe/Madrid,1752778247.151115,,,whastapp,closedApp,,
False,Europe/Madrid,1752785503.631775,1.5,breathingExercise,whastapp,openedApp,240.0,
False,Europe/Madrid,1752785541.773629,,,whastapp,closedApp,,
False,Europe/Madrid,1752830943.366685,1.5,breathingExercise,whastapp,openedApp,420.0,
False,Europe/Madrid,1752831126.10457,,,whastapp,closedApp,,
False,Europe/Madrid,1752831131.330982,1.5,breathingExercise,safari,openedApp,,
False,Europe/Madrid,1752831210.987403,,,whastapp,closedApp,,
False,Europe/Madrid,1752831283.7983599,,,whastapp,closedApp,,
False,Europe/Madrid,1752831351.99542,,,whastapp,closedApp,,
False,Europe/Madrid,1752831424.394099,,,whastapp,closedApp,,
False,Europe/Madrid,1752831548.006329,,,whastapp,closedApp,,
True,Europe/Madrid,1752831554.6021252,1.5,breathingExercise,whastapp,openedApp,420.0,
False,Europe/Madrid,1752831974.113051,,,whastapp,closedApp,,
True,Europe/Madrid,1752831980.089981,1.5,breathingExercise,whastapp,openedApp,420.0,
