timezone,interventionType,resolution,timestamp,app,isReIntervention,interventionDuration
Africa/Cairo,breathingExercise,openedApp,1752919228.926156,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1752920803.337862,instagram,False,1.5
Africa/Cairo,breathingExercise,dismissedAppOpening,1752921004.8678699,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1752921784.057137,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1752926313.5486479,instagram,False,1.5
Africa/Cairo,breathingExercise,dismissedAppOpening,1752929416.502386,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1752929423.454702,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1752929546.498221,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1752929980.0169039,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1752931370.987643,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1752932203.643855,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1752932668.057866,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1752932902.614335,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1752933546.7409391,instagram,False,1.5
Africa/Cairo,breathingExercise,dismissedAppOpening,1752933665.5603828,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1752933677.536979,instagram,False,1.5
Africa/Cairo,breathingExercise,dismissedAppOpening,1752933692.0325809,instagram,False,1.5
Africa/Cairo,breathingExercise,dismissedAppOpening,1752933696.739449,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1752934167.97029,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1752940370.02323,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1752941685.075772,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1752945968.994041,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1752946126.623178,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1752950406.5424209,instagram,False,1.5
