timezone,interventionDuration,app,interventionType,isReIntervention,timestamp,resolution,timeIntervalUntilReIntervention
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750021945.5701919,openedApp,300.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750027693.889796,openedApp,300.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750027989.336252,openedApp,360.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750035969.1426558,openedApp,360.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750071782.945096,openedApp,360.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750080278.020712,openedApp,300.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750080303.810429,openedApp,300.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750080952.5243468,openedApp,300.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750085064.765964,openedApp,180.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,True,1750085257.030757,openedApp,180.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,True,1750085580.302927,openedApp,240.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750086223.129847,openedApp,60.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750092297.519495,openedApp,300.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750093147.914174,openedApp,300.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750096209.474403,dismissedAppOpening,
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750096796.915619,openedApp,60.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,True,1750096869.049521,openedApp,60.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750105739.6774879,openedApp,60.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750109623.264816,openedApp,60.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,True,1750109697.051018,openedApp,60.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750109766.849513,openedApp,60.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750110678.188513,dismissedAppOpening,
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750112183.025954,openedApp,420.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750112746.939406,openedApp,300.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750134191.658222,openedApp,240.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750134245.9941878,dismissedAppOpening,
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750134255.9774199,openedApp,240.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750135803.10731,openedApp,360.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750163585.488123,openedApp,300.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,True,1750163918.6461868,openedApp,420.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,True,1750164346.164985,openedApp,360.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750164778.8152208,dismissedAppOpening,
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750165217.76191,openedApp,300.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750165685.648965,openedApp,360.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750166114.092272,openedApp,300.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750166541.802147,openedApp,300.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,True,1750166853.376981,openedApp,180.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750168298.151301,openedApp,360.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,True,1750168672.2884002,openedApp,240.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750173824.1427279,openedApp,240.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750182776.5757542,openedApp,300.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750183120.5165029,openedApp,60.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750184830.5022879,openedApp,180.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750185523.037209,openedApp,60.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750190557.801557,openedApp,60.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,True,1750190632.531995,openedApp,240.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,True,1750190881.226681,openedApp,60.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750191412.420515,openedApp,60.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750197609.875486,openedApp,240.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750197894.471571,openedApp,60.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750197932.291051,openedApp,300.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750205417.562152,openedApp,300.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750205567.601948,openedApp,360.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750205898.761874,dismissedAppOpening,
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750208927.611409,openedApp,180.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750208990.620635,openedApp,60.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750209095.943304,openedApp,240.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,True,1750209349.6553988,openedApp,180.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750210591.514141,openedApp,60.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,True,1750210664.582128,openedApp,180.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,True,1750210851.1141062,openedApp,60.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750244513.7719421,openedApp,120.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750252370.300274,openedApp,60.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750252426.5186,openedApp,300.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,True,1750252737.4357939,openedApp,180.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750253008.2433581,openedApp,60.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,True,1750253079.371536,openedApp,60.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750254628.769865,openedApp,60.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,True,1750254699.3713632,openedApp,60.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750255474.650584,openedApp,60.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,True,1750255547.875458,openedApp,60.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750261076.2396688,openedApp,240.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750261244.8838181,dismissedAppOpening,
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750268946.670281,openedApp,240.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,True,1750269202.4308748,openedApp,300.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750271552.979035,openedApp,120.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,True,1750271686.648063,openedApp,60.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,True,1750271756.0285559,openedApp,60.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750283225.00134,openedApp,180.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750283340.570692,openedApp,360.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750284713.2999,openedApp,180.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750286118.46943,openedApp,180.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750287813.193465,openedApp,60.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,True,1750287885.649177,openedApp,120.0
