timezone,interventionDuration,interventionType,app,isReIntervention,resolution,timestamp,purpose,timeIntervalUntilReIntervention
America/New_York,,,amazon,False,closedApp,1752450503.252877,,
America/New_York,3.0,breathingExercise,instagram,False,openedApp,1752452696.150937,Entertainment,240.0
America/New_York,3.0,breathingExercise,instagram,True,openedApp,1752452952.725045,Entertainment,360.0
America/New_York,3.0,breathingExercise,instagram,True,openedApp,1752453330.863666,Entertainment,300.0
America/New_York,3.0,breathingExercise,instagram,True,openedApp,1752453650.169405,Entertainment,300.0
America/New_York,3.0,breathingExercise,instagram,False,openedApp,1752489134.181234,Entertainment,480.0
America/New_York,3.0,breathingExercise,instagram,False,openedApp,1752489208.0509071,Entertainment,420.0
America/New_York,3.0,breathingExercise,tumblr,False,openedApp,1752535111.106415,Entertainment,
America/New_York,3.0,breathingExercise,tumblr,False,dismissedAppOpening,1752535144.6660318,,
America/New_York,3.0,breathingExercise,instagram,False,openedApp,1752535163.35063,Entertainment,300.0
America/New_York,3.0,breathingExercise,instagram,False,openedApp,1752576673.354803,Entertainment,480.0
America/New_York,3.0,breathingExercise,instagram,True,openedApp,1752577168.906328,Entertainment,420.0
America/New_York,3.0,breathingExercise,instagram,False,openedApp,1752599085.451563,Entertainment,300.0
America/New_York,3.0,breathingExercise,instagram,False,openedApp,1752599915.880402,Entertainment,480.0
America/New_York,3.0,breathingExercise,instagram,True,openedApp,1752600411.781528,Can’t sleep,60.0
America/New_York,3.0,breathingExercise,instagram,True,openedApp,1752600490.255343,Entertainment,600.0
America/New_York,3.0,breathingExercise,instagram,True,openedApp,1752601108.609173,Entertainment,600.0
America/New_York,3.0,breathingExercise,instagram,True,openedApp,1752601727.591124,Entertainment,600.0
America/New_York,3.0,breathingExercise,instagram,False,openedApp,1752602346.954372,Entertainment,840.0
America/New_York,3.0,breathingExercise,instagram,False,openedApp,1752620553.939557,Entertainment,480.0
America/New_York,3.0,breathingExercise,instagram,True,openedApp,1752621050.054984,Entertainment,600.0
America/New_York,3.0,breathingExercise,instagram,True,openedApp,1752621674.749532,Entertainment,600.0
America/New_York,3.0,breathingExercise,instagram,True,openedApp,1752622291.803388,Entertainment,540.0
America/New_York,3.0,breathingExercise,instagram,True,openedApp,1752622856.296173,Entertainment,660.0
America/New_York,3.0,breathingExercise,instagram,True,openedApp,1752623534.4942389,Entertainment,600.0
America/New_York,3.0,breathingExercise,instagram,True,openedApp,1752624152.222526,Entertainment,600.0
America/New_York,3.0,breathingExercise,instagram,True,openedApp,1752624771.995688,Entertainment,600.0
America/New_York,3.0,breathingExercise,instagram,True,openedApp,1752625391.1172209,Entertainment,600.0
America/New_York,3.0,breathingExercise,instagram,True,openedApp,1752626010.2283921,Entertainment,660.0
America/New_York,3.0,breathingExercise,instagram,False,openedApp,1752627999.490003,Entertainment,480.0
America/New_York,3.0,breathingExercise,instagram,True,openedApp,1752628499.020489,Entertainment,600.0
America/New_York,3.0,breathingExercise,instagram,True,openedApp,1752629118.990209,Entertainment,540.0
America/New_York,3.0,breathingExercise,instagram,True,openedApp,1752629676.791583,Entertainment,360.0
America/New_York,3.0,breathingExercise,instagram,True,openedApp,1752630067.771785,Entertainment,720.0
America/New_York,3.0,breathingExercise,instagram,True,openedApp,1752630807.780941,Entertainment,600.0
America/New_York,3.0,breathingExercise,instagram,True,openedApp,1752631428.502748,Entertainment,480.0
America/New_York,3.0,breathingExercise,instagram,True,openedApp,1752631951.363521,Entertainment,60.0
America/New_York,3.0,breathingExercise,instagram,True,openedApp,1752632032.1414518,Entertainment,540.0
America/New_York,3.0,breathingExercise,instagram,True,openedApp,1752632591.855349,Entertainment,540.0
America/New_York,3.0,breathingExercise,instagram,True,openedApp,1752633323.491195,Entertainment,240.0
America/New_York,3.0,breathingExercise,instagram,False,openedApp,1752660810.8334332,Entertainment,480.0
