resolution,timezone,app,timestamp,interventionDuration,interventionType,isReIntervention
openedApp,America/New_York,instagram,1752800269.898188,1.5,breathingExercise,False
openedApp,America/New_York,instagram,1752805385.8802109,1.5,breathingExercise,False
openedApp,America/New_York,instagram,1752805823.0368052,1.5,breathingExercise,False
openedApp,America/New_York,instagram,1752835465.644825,1.5,breathingExercise,False
openedApp,America/New_York,instagram,1752838652.634674,1.5,breathingExercise,False
openedApp,America/New_York,instagram,1752846829.088955,1.5,breathingExercise,False
openedApp,America/New_York,instagram,1752849854.099615,1.5,breathingExercise,False
dismissedAppOpening,America/New_York,instagram,1752850636.702914,1.5,breathingExercise,False
openedApp,America/New_York,instagram,1752868677.305289,1.5,breathingExercise,False
openedApp,America/New_York,instagram,1752868713.593864,1.5,breathingExercise,False
openedApp,America/New_York,instagram,1752870982.138084,1.5,breathingExercise,False
openedApp,America/New_York,instagram,1752876010.9885821,1.5,breathingExercise,False
openedApp,America/New_York,instagram,1752894902.331922,1.5,breathingExercise,False
openedApp,America/New_York,instagram,1752895632.3615751,1.5,breathingExercise,False
openedApp,America/New_York,instagram,1752895865.174818,1.5,breathingExercise,False
openedApp,America/New_York,instagram,1752926099.146512,1.5,breathingExercise,False
openedApp,America/New_York,instagram,1752930302.021514,1.5,breathingExercise,False
openedApp,America/New_York,instagram,1752951290.646792,1.5,breathingExercise,False
openedApp,America/New_York,instagram,1752951377.256144,1.5,breathingExercise,False
openedApp,America/New_York,instagram,1752952770.951779,1.5,breathingExercise,False
openedApp,America/New_York,instagram,1752953990.991523,1.5,breathingExercise,False
dismissedAppOpening,America/New_York,instagram,1752954310.385484,1.5,breathingExercise,False
openedApp,America/New_York,instagram,1752960061.832838,1.5,breathingExercise,False
openedApp,America/New_York,instagram,1752972087.632316,1.5,breathingExercise,False
openedApp,America/New_York,instagram,1752978127.804729,1.5,breathingExercise,False
openedApp,America/New_York,instagram,1753023007.197441,1.5,breathingExercise,False
openedApp,America/New_York,instagram,1753033195.059345,1.5,breathingExercise,False
openedApp,America/New_York,instagram,1753034912.0430698,1.5,breathingExercise,False
openedApp,America/New_York,instagram,1753035346.613782,1.5,breathingExercise,False
openedApp,America/New_York,instagram,1753036037.9843612,1.5,breathingExercise,False
openedApp,America/New_York,instagram,1753038646.6950421,1.5,breathingExercise,False
openedApp,America/New_York,instagram,1753047735.435508,1.5,breathingExercise,False
openedApp,America/New_York,instagram,1753047836.1742601,1.5,breathingExercise,False
openedApp,America/New_York,instagram,1753047874.969602,1.5,breathingExercise,False
openedApp,America/New_York,instagram,1753047927.7986588,1.5,breathingExercise,False
openedApp,America/New_York,instagram,1753060693.336669,1.5,breathingExercise,False
openedApp,America/New_York,instagram,1753062701.8992,1.5,breathingExercise,False
openedApp,America/New_York,instagram,1753098595.926774,1.5,breathingExercise,False
dismissedAppOpening,America/New_York,instagram,1753100445.258044,1.5,breathingExercise,False
openedApp,America/New_York,instagram,1753120599.9707851,1.5,breathingExercise,False
openedApp,America/New_York,instagram,1753124748.6896648,1.5,breathingExercise,False
openedApp,America/New_York,instagram,1753128991.815501,1.5,breathingExercise,False
openedApp,America/New_York,instagram,1753130775.0797992,1.5,breathingExercise,False
openedApp,America/New_York,instagram,1753145116.778016,1.5,breathingExercise,False
openedApp,America/New_York,instagram,1753149745.267921,1.5,breathingExercise,False
openedApp,America/New_York,instagram,1753185387.9647741,1.5,breathingExercise,False
openedApp,America/New_York,instagram,1753195231.614976,1.5,breathingExercise,False
openedApp,America/New_York,instagram,1753206267.0896611,1.5,breathingExercise,False
openedApp,America/New_York,instagram,1753209152.72873,1.5,breathingExercise,False
openedApp,America/New_York,instagram,1753215431.214464,1.5,breathingExercise,False
openedApp,America/New_York,instagram,1753216234.950772,1.5,breathingExercise,False
openedApp,America/New_York,instagram,1753235516.859199,1.5,breathingExercise,False
openedApp,America/New_York,instagram,1753271388.954438,1.5,breathingExercise,False
openedApp,America/New_York,instagram,1753273286.3716068,1.5,breathingExercise,False
openedApp,America/New_York,instagram,1753278655.3585548,1.5,breathingExercise,False
openedApp,America/New_York,instagram,1753283735.161325,1.5,breathingExercise,False
openedApp,America/New_York,instagram,1753295870.665092,1.5,breathingExercise,False
openedApp,America/New_York,instagram,1753301975.200644,1.5,breathingExercise,False
openedApp,America/New_York,instagram,1753366873.94633,1.5,breathingExercise,False
openedApp,America/New_York,instagram,1753368072.024323,1.5,breathingExercise,False
openedApp,America/New_York,instagram,1753377602.1264272,1.5,breathingExercise,False
openedApp,America/New_York,instagram,1753380924.536724,1.5,breathingExercise,False
openedApp,America/New_York,instagram,1753382747.13095,1.5,breathingExercise,False
dismissedAppOpening,America/New_York,instagram,1753383756.831039,1.5,breathingExercise,False
openedApp,America/New_York,instagram,1753383767.528905,1.5,breathingExercise,False
openedApp,America/New_York,instagram,1753388790.662095,1.5,breathingExercise,False
openedApp,America/New_York,instagram,1753410248.082849,1.5,breathingExercise,False
openedApp,America/New_York,instagram,1753441251.193283,1.5,breathingExercise,False
openedApp,America/New_York,instagram,1753444605.471202,1.5,breathingExercise,False
openedApp,America/New_York,instagram,1753451267.4214401,1.5,breathingExercise,False
openedApp,America/New_York,instagram,1753451493.664493,1.5,breathingExercise,False
openedApp,America/New_York,instagram,1753454054.037796,1.5,breathingExercise,False
openedApp,America/New_York,instagram,1753457416.621695,1.5,breathingExercise,False
openedApp,America/New_York,instagram,1753459283.175658,1.5,breathingExercise,False
openedApp,America/New_York,instagram,1753464858.350163,1.5,breathingExercise,False
openedApp,America/New_York,instagram,1753465071.86756,1.5,breathingExercise,False
openedApp,America/New_York,instagram,1753465386.282475,1.5,breathingExercise,False
openedApp,America/New_York,instagram,1753479656.440511,1.5,breathingExercise,False
openedApp,America/New_York,instagram,1753480529.223648,1.5,breathingExercise,False
openedApp,America/New_York,instagram,1753480680.96544,1.5,breathingExercise,False
openedApp,America/New_York,instagram,1753482515.853527,1.5,breathingExercise,False
openedApp,America/New_York,instagram,1753494878.7573,1.5,breathingExercise,False
openedApp,America/New_York,instagram,1753497423.385035,1.5,breathingExercise,False
openedApp,America/New_York,instagram,1753533837.765513,1.5,breathingExercise,False
openedApp,America/New_York,instagram,1753537866.919224,1.5,breathingExercise,False
openedApp,America/New_York,instagram,1753574589.136372,1.5,breathingExercise,False
dismissedAppOpening,America/New_York,instagram,1753581893.128365,1.5,breathingExercise,False
dismissedAppOpening,America/New_York,instagram,1753582104.606244,1.5,breathingExercise,False
openedApp,America/New_York,instagram,1753584751.6912398,1.5,breathingExercise,False
openedApp,America/New_York,instagram,1753622783.3166242,1.5,breathingExercise,False
openedApp,America/New_York,instagram,1753642070.089541,1.5,breathingExercise,False
openedApp,America/New_York,instagram,1753647465.5339432,1.5,breathingExercise,False
openedApp,America/New_York,instagram,1753650109.522193,1.5,breathingExercise,False
openedApp,America/New_York,instagram,1753654284.367439,1.5,breathingExercise,False
openedApp,America/New_York,instagram,1753655481.461721,1.5,breathingExercise,False
openedApp,America/New_York,instagram,1753656364.397822,1.5,breathingExercise,False
openedApp,America/New_York,instagram,1753663124.234425,1.5,breathingExercise,False
openedApp,America/New_York,instagram,1753666835.0517468,1.5,breathingExercise,False
openedApp,America/New_York,instagram,1753666941.401295,1.5,breathingExercise,False
openedApp,America/New_York,instagram,1753668527.047388,1.5,breathingExercise,False
openedApp,America/New_York,instagram,1753670593.9317288,1.5,breathingExercise,False
openedApp,America/New_York,instagram,1753703921.428205,1.5,breathingExercise,False
dismissedAppOpening,America/New_York,instagram,1753718201.648979,1.5,breathingExercise,False
dismissedAppOpening,America/New_York,instagram,1753724217.7949429,1.5,breathingExercise,False
openedApp,America/New_York,instagram,1753736656.841638,1.5,breathingExercise,False
openedApp,America/New_York,instagram,1753736831.100237,1.5,breathingExercise,False
openedApp,America/New_York,instagram,1753746842.579269,1.5,breathingExercise,False
openedApp,America/New_York,instagram,1753756313.785404,1.5,breathingExercise,False
openedApp,America/New_York,instagram,1753756666.637794,1.5,breathingExercise,False
openedApp,America/New_York,instagram,1753789860.7128968,1.5,breathingExercise,False
openedApp,America/New_York,instagram,1753789929.8640208,1.5,breathingExercise,False
openedApp,America/New_York,instagram,1753815848.966877,3.0,breathingExercise,False
openedApp,America/New_York,instagram,1753817059.0079808,3.0,breathingExercise,False
dismissedAppOpening,America/New_York,instagram,1753819768.01374,3.0,breathingExercise,False
openedApp,America/New_York,instagram,1753820053.971185,3.0,breathingExercise,False
openedApp,America/New_York,instagram,1753840198.1350741,3.0,breathingExercise,False
openedApp,America/New_York,instagram,1753906332.220542,3.0,breathingExercise,False
openedApp,America/New_York,instagram,1753925574.440757,3.0,breathingExercise,False
dismissedAppOpening,America/New_York,instagram,1753927254.451792,3.0,breathingExercise,False
openedApp,America/New_York,instagram,1753927417.945702,3.0,breathingExercise,False
openedApp,America/New_York,instagram,1753967780.245841,3.0,breathingExercise,False
dismissedAppOpening,America/New_York,instagram,1753968376.470865,3.0,breathingExercise,False
openedApp,America/New_York,instagram,1753989861.3365269,3.0,breathingExercise,False
openedApp,America/New_York,instagram,1753990789.1533089,3.0,breathingExercise,False
openedApp,America/New_York,instagram,1754010009.6167068,3.0,breathingExercise,False
openedApp,America/New_York,instagram,1754010172.45298,3.0,breathingExercise,False
openedApp,America/New_York,instagram,1754012075.662002,3.0,breathingExercise,False
openedApp,America/New_York,instagram,1754013232.827961,3.0,breathingExercise,False
openedApp,America/New_York,instagram,1754046949.033103,3.0,breathingExercise,False
openedApp,America/New_York,instagram,1754058289.909168,3.0,breathingExercise,False
dismissedAppOpening,America/New_York,instagram,1754076632.357781,3.0,breathingExercise,False
openedApp,America/New_York,instagram,1754083264.7711449,3.0,breathingExercise,False
openedApp,America/New_York,instagram,1754098635.642624,3.0,breathingExercise,False
openedApp,America/New_York,instagram,1754101426.8992429,3.0,breathingExercise,False
openedApp,America/New_York,instagram,1754137523.914474,3.0,breathingExercise,False
openedApp,America/New_York,instagram,1754137966.491973,3.0,breathingExercise,False
openedApp,America/New_York,instagram,1754147372.147969,3.0,breathingExercise,False
openedApp,America/New_York,instagram,1754161536.7443,3.0,breathingExercise,False
openedApp,America/New_York,instagram,1754167775.786264,3.0,breathingExercise,False
openedApp,America/New_York,instagram,1754168108.542791,3.0,breathingExercise,False
openedApp,America/New_York,instagram,1754187838.123225,3.0,breathingExercise,False
openedApp,America/New_York,instagram,1754188363.361387,3.0,breathingExercise,False
openedApp,America/New_York,instagram,1754226386.031271,3.0,breathingExercise,False
openedApp,America/New_York,instagram,1754233081.742589,3.0,breathingExercise,False
openedApp,America/New_York,instagram,1754233241.708229,3.0,breathingExercise,False
openedApp,America/New_York,instagram,1754236187.552396,3.0,breathingExercise,False
openedApp,America/New_York,instagram,1754236426.847661,3.0,breathingExercise,False
openedApp,America/New_York,instagram,1754236487.1154408,3.0,breathingExercise,False
openedApp,America/New_York,instagram,1754259817.631536,3.0,breathingExercise,False
openedApp,America/New_York,instagram,1754266142.9800391,3.0,breathingExercise,False
dismissedAppOpening,America/New_York,instagram,1754266281.886701,3.0,breathingExercise,False
openedApp,America/New_York,instagram,1754271606.247124,3.0,breathingExercise,False
openedApp,America/New_York,instagram,1754308816.876068,3.0,breathingExercise,False
openedApp,America/New_York,instagram,1754312147.2230248,3.0,breathingExercise,False
openedApp,America/New_York,instagram,1754312321.0675569,3.0,breathingExercise,False
openedApp,America/New_York,instagram,1754332862.1527781,3.0,breathingExercise,False
openedApp,America/New_York,instagram,1754341830.4325151,3.0,breathingExercise,False
dismissedAppOpening,America/New_York,instagram,1754342495.41119,3.0,breathingExercise,False
openedApp,America/New_York,instagram,1754360774.114777,3.0,breathingExercise,False
openedApp,America/New_York,instagram,1754361362.724648,3.0,breathingExercise,False
openedApp,America/New_York,instagram,1754396888.7212749,3.0,breathingExercise,False
openedApp,America/New_York,instagram,1754397228.637615,3.0,breathingExercise,False
openedApp,America/New_York,instagram,1754403321.885398,3.0,breathingExercise,False
openedApp,America/New_York,instagram,1754404107.091172,3.0,breathingExercise,False
openedApp,America/New_York,instagram,1754407067.375505,3.0,breathingExercise,False
openedApp,America/New_York,instagram,1754411483.330523,3.0,breathingExercise,False
openedApp,America/New_York,instagram,1754411732.862413,3.0,breathingExercise,False
openedApp,America/New_York,instagram,1754424797.7068028,3.0,breathingExercise,False
openedApp,America/New_York,instagram,1754435279.9728432,3.0,breathingExercise,False
dismissedAppOpening,America/New_York,instagram,1754436994.254294,3.0,breathingExercise,False
dismissedAppOpening,America/New_York,instagram,1754440796.7511349,3.0,breathingExercise,False
